date,ticker,close
2024-06-01,AAPL,165.0
2024-07-01,AAPL,179.13
2024-08-01,AAPL,179.01
2024-09-01,AAPL,182.47
2024-10-01,AAPL,188.73
2024-11-01,AAPL,186.17
2024-12-01,AAPL,189.54
2025-01-01,AAPL,192.94
2025-02-01,AAPL,182.87
2025-03-01,AAPL,193.61
2025-04-01,AAPL,201.74
2025-05-01,AAPL,200.33
2024-06-01,EQNR,300.0
2024-07-01,EQNR,305.18
2024-08-01,EQNR,298.75
2024-09-01,EQNR,292.73
2024-10-01,EQNR,269.12
2024-11-01,EQNR,274.43
2024-12-01,EQNR,273.94
2025-01-01,EQNR,275.5
2025-02-01,EQNR,252.27
2025-03-01,EQNR,271.07
2025-04-01,EQNR,271.0
2025-05-01,EQNR,263.58
2024-06-01,MSFT,300.0
2024-07-01,MSFT,306.12
2024-08-01,MSFT,297.32
2024-09-01,MSFT,299.64
2024-10-01,MSFT,282.23
2024-11-01,MSFT,298.81
2024-12-01,MSFT,301.03
2025-01-01,MSFT,299.83
2025-02-01,MSFT,317.68
2025-03-01,MSFT,306.31
2025-04-01,MSFT,318.79
2025-05-01,MSFT,302.77
2024-06-01,NVDA,400.0
2024-07-01,NVDA,334.56
2024-08-01,NVDA,404.71
2024-09-01,NVDA,506.81
2024-10-01,NVDA,485.97
2024-11-01,NVDA,545.6
2024-12-01,NVDA,534.58
2025-01-01,NVDA,579.77
2025-02-01,NVDA,521.56
2025-03-01,NVDA,399.43
2025-04-01,NVDA,300.6
2025-05-01,NVDA,318.22
